Column1,fat,carbohydrates,fibres,protein,vitamin_A,vitamin_B1,vitamin_B2,vitamin_B6,vitamin_B12,vitamin_B3,vitamin_B9,vitamin_B5,vitamin_C,vitamin_D,vitamin_E,potassium,sodium,calcium,magnesium,iron,zinc,selenium,Name,Category,Food_category,Vegan_cat,count,portion,vegan_score,vegan_score_2
576,98.67,0,0,0,0,0,0,0,0,0,0,0,0,0,23.67,0,0,0,0,0,0,0,palm oil palm fat,Fats and oils/Oils;Fats and oils/Fats,Oils,vegan,4,33.33,0,0
962,91,22,15,16,0,15,18,12,0,15,6,5,0,0,49,5,65,7,14,13,0,0,tortilla chips cornbased,Savoury snacks/Chips/Crisps,Other,vegan,16,100,9.05,1.91
504,89,0,0,0.33,39.67,0.33,1,0,0.67,0.67,0.33,0.33,0,8.33,55.67,0.33,1.33,0.33,0.33,0.33,0,0,margarine,Fats and oils/Fats,Oils,vegan,6,33.33,0.25,2.6
680,74,24,15,12,0,46,5,91,0,12,24,17,41,0,22,26,33,2,15,7,10,0,potato chips fat reduced,Savoury snacks/Chips/Crisps,Other,vegan,18,100,7.79,1.64
230,71,1,0,5,0,2,0,2,0,5,5,2,1,0,6,6,1,2,15,22,8,5,coconut milk,"Nuts, seeds and oleaginous fruit",Nuts and seeds,vegan,8,100,9.3,1.96
883,61,3,73,76,5,103,42,71,0,22,83,28,36,0,12,45,0,20,71,44,52,0,soybean dried,"Cereal products, pulses and potatoes/Pulses",Cereal,vegan,18,100,48.24,10.45
118,60,12,19,18,6,23,9,13,1,12,14,11,0,0,10,6,33,3,22,14,24,5,bread with walnuts,"Bread, flakes and breakfast cereals/Bread and bread products",Cereal,vegan,20,100,14.82,3.45
564,57,0,21,3,3,2,0,2,0,1,1,1,0,0,51,0,47,8,5,57,1,0,olive black,"Nuts, seeds and oleaginous fruit",Nuts and seeds,vegan,8,100,17.34,3.82
787,56.33,0.33,0,0.33,0.33,0.33,0,1.33,0,0,0,0,0.33,0,43.67,0.33,6.33,0.33,0.67,0.33,0.67,0,salad dressing italian style homemade,Fats and oils/Salad dressings,Sauces,vegan,5,33.33,0.42,0.11
215,53,10.5,11.5,5.5,0,4,7,2,0,2.5,1,1.5,0,0,0,10.5,0.5,2.5,19.5,22.5,14,0,chocolate dark,Sweets/Chocolate and cocoa products,Sweets,vegan,12,50,11.18,2.36
565,52,0,12,3,0,1,0,1,0,1,1,1,0,1,44,1,84,6,8,1,1,0,olive green,"Nuts, seeds and oleaginous fruit",Nuts and seeds,vegan,8,100,2.76,0.64
621,47.33,1,2.67,2.67,4,1.67,3,1.67,0,1.67,3,1.67,32.33,0.67,49.67,1.67,23.67,5,4,1.33,3,2.33,pesto sauce green,Various/Sauces,Sauces,vegan,17,33.33,3.02,0.88
29,47,0,10,4,1,6,15,14,0,17,10,14,7,0,15,13,0,2,11,7,8,0,avocado,"Nuts, seeds and oleaginous fruit;Vegetables/Fresh vegetables",Fruit,vegan,16,100,5.28,1.17
227,41,2,54.5,22.5,0,6.5,18,5,0,11,6.5,9,0,0,3,24,0.5,5.5,66,43.5,35.5,0,cocoa powder,Sweets/Chocolate and cocoa products;Non-alcoholic beverages/Cocoa beverages,Sweets,vegan,17,50,26.88,5.67
622,39.67,1.33,5.67,3.67,3,6.33,5,6.33,0.67,8,3.67,4.33,7.33,0,50,8.67,18.33,3.33,6.33,4.33,4,0,pesto sauce red,Various/Sauces,Sauces,vegan,22,33.33,3.85,0.97
898,37,9,8,13,2,11,5,9,6,12,8,4,1,2,7,4,41,2,5,6,8,7,spring roll deep fried,Prepared dishes/Asian dishes,Other,vegan,17,100,7.29,1.75
1005,36.67,0.33,1,0.67,0,1,0.33,1,0,0.33,0.33,0.33,0.67,0,30.67,0.67,6,0.67,1.33,0.33,0.67,0,vinegaroilsalad dressing homemade,Fats and oils/Salad dressings,Sauces,vegan,5,33.33,0.59,0.12
775,32,28,9,29,6,13,20,4,2,7,8,8,0,0,4,6,53,7,7,4,8,0,rusk,"Bread, flakes and breakfast cereals/Crispbreads, rusks, crackers and wafers",Cereal,vegan,18,100,12.06,2.86
949,32,1,1,33,0,9,3,3,0,3,5,3,0,1,11,5,20,6,45,13,18,0,tofu smoked,Meat substitutes,Other,vegan,11,100,17.59,3.76
776,30,24,26,35,4,29,25,23,3,29,11,14,0,0,12,10,49,10,32,24,34,0,rusk wholemeal,"Bread, flakes and breakfast cereals/Crispbreads, rusks, crackers and wafers",Cereal,vegan,20,100,25.88,5.67
361,30,13,8,7,0,28,3,49,0,7,14,10,23,0,24,15,1,1,9,4,5,0,french fries unsalted,"Cereal products, pulses and potatoes/Potatoes",Cereal,vegan,15,100,4.27,0.9
505,29.5,13.5,8,8,1,3.5,9,2,0,5.5,5,1.5,0,0,35.5,3.5,0,4,11.5,5,5.5,0,marzipan,Sweets/Other sweets,Sweets,vegan,16,50,5.65,1.25
1003,28,0.33,0.67,3,2,1.33,2.67,1.33,2.67,0.33,2.33,3.67,0.67,1,21.33,0.67,3,0.67,1,1.67,2,0,vinaigrette dressing,Fats and oils/Salad dressings,Sauces,vegan,13,33.33,1.84,0.55
562,25,24,35,27,0,42,12,7,0,7,16,12,0,0,6,10,1,5,39,25,38,0,oat flakes,"Bread, flakes and breakfast cereals/Flakes, bran and germs",Cereal,vegan,17,100,23.87,5.04
