,fat,carbohydrates,fibres,protein,vitamin_A,vitamin_B1,vitamin_B2,vitamin_B6,vitamin_B12,vitamin_B3,vitamin_B9,vitamin_B5,vitamin_C,vitamin_D,vitamin_E,potassium,sodium,calcium,magnesium,iron,zinc,selenium,Name,Category,Food_category,Vegan_cat,count,portion,vegan_score,vegan_score_2
1045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wine red  vol,Alcoholic beverages/Wine,Alcoholic beverages,vegan,0,100.0,0.0,0.0
1046,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,5.0,6.0,1.0,0.0,wine red  vol,Alcoholic beverages/Wine,Alcoholic beverages,vegan,1,100.0,2.01,0.42
1047,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,2.0,2.0,0.0,wine white  vol,Alcoholic beverages/Wine,Alcoholic beverages,vegan,0,100.0,1.26,0.27
1048,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,4.0,2.0,0.0,wine white  vol,Alcoholic beverages/Wine,Alcoholic beverages,vegan,0,100.0,1.76,0.37
1049,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,wine white spritzer sour,Alcoholic beverages/Wine,Alcoholic beverages,vegan,0,100.0,1.01,0.21
1050,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,3.0,1.0,0.0,wine white spritzer sweet,Alcoholic beverages/Wine,Alcoholic beverages,vegan,0,100.0,1.26,0.27
1051,4.0,0.0,23.0,33.0,0.0,83.0,126.0,45.0,0.0,81.0,214.0,38.0,0.0,0.0,1.0,14.000000000000002,1.0,2.0,13.0,19.0,30.0,2.0,yeast  pressed,Various/Yeast;Various/Baking ingredients,Other,vegan,12,100.0,21.11,4.45
1052,37.0,17.0,6.0,17.0,15.0,15.0,13.0,9.0,4.0,7.000000000000001,13.0,10.0,0.0,2.0,4.0,4.0,25.0,3.0,7.000000000000001,7.000000000000001,11.0,6.0,yeast dough  sweet raw,"Cereal products, pulses and potatoes/Dough",Dairy product,not_vegan,19,100.0,9.55,2.92
1053,38.0,16.0,7.000000000000001,18.0,16.0,16.0,14.000000000000002,9.0,4.0,7.000000000000001,13.0,11.0,0.0,3.0,21.0,4.0,27.0,4.0,8.0,7.000000000000001,11.0,6.0,yeast dough  sweet raw,"Cereal products, pulses and potatoes/Dough",Cereal,vegan,20,100.0,10.05,3.13
1054,14.000000000000002,11.0,32.0,96.0,0.0,1200.0,345.0,314.0,0.0,375.0,1067.0,120.0,0.0,0.0,1.0,35.0,5.0,5.0,74.0,120.0,100.0,0.0,yeast dried,Various/Yeast;Special foods/Supplements,Other,vegan,16,100.0,80.65,17.02
1055,1.0,5.0,8.0,1.0,2.0,6.0,4.0,4.0,0.0,4.0,3.0,3.0,7.000000000000001,0.0,4.0,6.0,0.0,1.0,5.0,3.0,1.0,0.0,yellow plum fresh,Fruit/Fresh fruit,Fruit,vegan,4,100.0,1.51,0.42
